франкфурт-на-майне	франкфурт	0.90053856
основополагающий	полный	0.4309375
плексигласовый	химический	0.66045666
неподтвержденный	качественный	0.47086528
древневерхненемецкий	немецкий	0.4650068
обувнозаготовочный	древний	0.22347412
сентиментальность	чувствительность	0.80135775
заблагорассудиться	краситься	0.2693028
самогоноварение	наркопреступность	0.56150544
полуразложившийся	полураспавшийся	0.78395545
шумозаградительный	обеспечительный	0.72839296
нерасследованный	следственный	0.7669127
неосуществленный	нереализованный	0.86669296
люминесцентный	жирный	0.55021995
кровезаменитель	каратель	0.48725703
песчано-гравийный	асфальтобетонный	0.67218393
валяносапожник	башмачник	0.62343526
необуржуазный	опасный	0.4328888
междоусобица	война	0.5500994
непотопляемый	верный	0.31056207
лейб-гвардейский	житейский	0.33766925
предынфарктный	коматозный	0.71581715
завербовывать	нанимать	0.6481692
склеропластика	информатика	0.5089556
неукоснительно	ветрено	0.051068626
неоплатонизм	комизм	0.51436985
поисково-спасательный	пастельный	0.4508331
коксующийся	угольный	0.4464574
эластокинематический	кинематический	0.9098727
восемьсотпятидесятилетие	возмездие	0.04918182
неопознанный	неизвестный	0.6362715
горюче-смазочный	топливный	0.74364406
попустительствовать	потакать	0.3729663
спецслужбист	коммунист	0.5422118
самозатачивающийся	твердосплавный	0.47685212
биокибернетик	ученый	0.52907276
невосприимчивый	неподверженный	0.587212
ханты-мансийск	торонто	0.3375888
центрально-черноземный	сонный	0.4049899
сергиево-посадский	московский	0.80915725
раннеперестроечный	позднесоветский	0.684422
нормальненько	сухо	0.18691006
залогодержатель	банк	0.23290706
азиатско-тихоокеанский	дальневосточный	0.8207774
гастроэнтеролог	врач	0.39537933
конституционно-правовой	юридический	0.7490134
камнесамоцветный	драгоценный	0.6281461
горношахтный	промышленный	0.6504923
нечленораздельный	безмерный	0.41209522
белогвардеец	империя	0.2782167
электронно-механический	эпический	0.5281852
пуленепробиваемый	бронированный	0.77299315
пенополиуританин	кефир	0.10294573
бессквозняковый	безветреный	0.65570396
вестминстерский	лондонский	0.8306099
сногсшибательный	завистливый	0.44120964
полиизобутилен	поливинилацетат	0.60795385
грузино-абхазский	кавказский	0.6931182
детоталитаризация	стол	-0.1512135
слабоминерализованный	гидрокарбонатный	0.66282576
авиационно-космический	воздушный	0.5389095
сталелитейный	заводской	0.61481994
спринтерский	атлетический	0.6974431
звукозаписывающий	студийный	0.55672944
конкуретноспособность	предпринимательство	0.6565104
неремонтопригодный	былой	0.18691881
уголовно-процессуальный	судебный	0.75382495
приснопамятный	темпераментный	0.450298
чехословацкий	чешский	0.8067912
полузамерзший	сиреневый	0.33647695
взаимозаменяемый	альтернативный	0.7029289
неостановимый	воображаемый	0.52529484
налогооблагаемый	материальный	0.67575854
рационализаторский	классный	0.31824186
длиннобазный	вытянутый	0.5410862
поскальзываться	спотыкаться	0.8440492
легкоусвояемый	диетический	0.44981992
хлопчатобумажный	ткацкий	0.6033879
закоренелый	усталый	0.26187396
желудочно-кишечный	врачебный	0.42274433
квадратно-гнездовой	квадратный	0.63617265
гражданско-процессуальный	общеправовой	0.6944884
неосторожный	неаккуратный	0.5812125
приспосабливаться	умудряться	0.41895807
рабоче-крестьянский	пролетарский	0.8043927
тетраэтилсвинец	свинец	0.5857589
морально-нравственный	этический	0.8369733
незатасканный	неистрепанный	0.67831993
неизбирабельный	стойкий	0.45467615
социально-политический	экономический	0.88636893
двухъярусный	плотный	0.49497533
беллинсгаузен	крузенштерн	0.64460677
древесностружечный	строительный	0.5981503
непропорциональность	диспропорциональность	0.9464336
горно-обогатительный	восхитительный	0.6550332
исправительно-трудовой	лагерный	0.40209576
сердечно-сосудистый	кровеносный	0.62675244
всепобеждающий	кожаный	0.098161116
небезызвестный	знаменитый	0.7405496
приноравливаться	приспособляться	0.6641664
набалдашник	чиновник	0.2041964
всеохватывающий	всеобъемлющий	0.83668727
совершеннолетний	тетрадный	0.11830274
претенциозный	пафосный	0.70601225